[ 2025-10-12 13:07:07,490 ]: 20 security_network_project - INFO - Initiate the data ingestion
[ 2025-10-12 13:07:09,157 ]: 67 security_network_project - INFO - Performed train test split on the dataframe
[ 2025-10-12 13:07:09,157 ]: 69 security_network_project - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-12 13:07:09,157 ]: 77 security_network_project - INFO - Exporting train and test file path.
[ 2025-10-12 13:07:09,194 ]: 87 security_network_project - INFO - Exported train and test file path.
[ 2025-10-12 13:07:09,199 ]: 22 security_network_project - INFO - Data ingestion completed
[ 2025-10-12 13:07:09,212 ]: 43 security_network_project - INFO - yaml file: data_schema\schema.yaml loaded successfully
[ 2025-10-12 13:07:09,212 ]: 28 security_network_project - INFO - Initiate the data validation
[ 2025-10-12 13:07:09,243 ]: 46 security_network_project - INFO - Required number of columns:31
[ 2025-10-12 13:07:09,243 ]: 47 security_network_project - INFO - Data frame has columns:32
[ 2025-10-12 13:07:09,243 ]: 46 security_network_project - INFO - Required number of columns:31
[ 2025-10-12 13:07:09,243 ]: 47 security_network_project - INFO - Data frame has columns:32
[ 2025-10-12 13:07:09,355 ]: 30 security_network_project - INFO - Data validation completed
[ 2025-10-12 13:07:09,356 ]: 36 security_network_project - INFO - Initiate the data transformation
[ 2025-10-12 13:07:09,356 ]: 64 security_network_project - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-12 13:07:09,356 ]: 66 security_network_project - INFO - Strating data trasnformation
[ 2025-10-12 13:07:09,376 ]: 50 security_network_project - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-12 13:07:09,377 ]: 55 security_network_project - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 5, 'weights': 'uniform'}
[ 2025-10-12 13:07:09,383 ]: 77 security_network_project - INFO - Entered the save_object method of MainUtils class
[ 2025-10-12 13:07:09,384 ]: 81 security_network_project - INFO - Exited the save_object method of MainUtils class
[ 2025-10-12 13:07:09,385 ]: 38 security_network_project - INFO - Data transformation completed
[ 2025-10-12 13:07:09,385 ]: 42 security_network_project - INFO - Model Training sstared
[ 2025-10-12 13:25:59,923 ]: 77 security_network_project - INFO - Entered the save_object method of MainUtils class
[ 2025-10-12 13:25:59,925 ]: 81 security_network_project - INFO - Exited the save_object method of MainUtils class
[ 2025-10-12 13:25:59,925 ]: 77 security_network_project - INFO - Entered the save_object method of MainUtils class
[ 2025-10-12 13:25:59,945 ]: 81 security_network_project - INFO - Exited the save_object method of MainUtils class
[ 2025-10-12 13:25:59,945 ]: 119 security_network_project - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\10_12_2025_13_07_06\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(accuracy_score=0.9903889642695612, f1_score=0.9913906613997772, precision_score=0.9894864536999596, recall_score=0.9933022122995738), test_metric_artifact=ClassificationMetricArtifact(accuracy_score=0.9773857982813207, f1_score=0.9798061389337641, precision_score=0.9735152487961477, recall_score=0.9861788617886179))
[ 2025-10-12 13:25:59,947 ]: 48 security_network_project - INFO - Model Training artifact created
