[ 2025-10-12 13:38:11,490 ]: 20 security_network_project - INFO - Initiate the data ingestion
[ 2025-10-12 13:38:13,064 ]: 67 security_network_project - INFO - Performed train test split on the dataframe
[ 2025-10-12 13:38:13,065 ]: 69 security_network_project - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-12 13:38:13,065 ]: 77 security_network_project - INFO - Exporting train and test file path.
[ 2025-10-12 13:38:13,101 ]: 87 security_network_project - INFO - Exported train and test file path.
[ 2025-10-12 13:38:13,103 ]: 22 security_network_project - INFO - Data ingestion completed
[ 2025-10-12 13:38:13,108 ]: 43 security_network_project - INFO - yaml file: data_schema\schema.yaml loaded successfully
[ 2025-10-12 13:38:13,108 ]: 28 security_network_project - INFO - Initiate the data validation
[ 2025-10-12 13:38:13,140 ]: 46 security_network_project - INFO - Required number of columns:31
[ 2025-10-12 13:38:13,141 ]: 47 security_network_project - INFO - Data frame has columns:32
[ 2025-10-12 13:38:13,141 ]: 46 security_network_project - INFO - Required number of columns:31
[ 2025-10-12 13:38:13,141 ]: 47 security_network_project - INFO - Data frame has columns:32
[ 2025-10-12 13:38:13,239 ]: 30 security_network_project - INFO - Data validation completed
[ 2025-10-12 13:38:13,239 ]: 36 security_network_project - INFO - Initiate the data transformation
[ 2025-10-12 13:38:13,239 ]: 64 security_network_project - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-12 13:38:13,239 ]: 66 security_network_project - INFO - Strating data trasnformation
[ 2025-10-12 13:38:13,256 ]: 50 security_network_project - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-12 13:38:13,256 ]: 55 security_network_project - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 5, 'weights': 'uniform'}
[ 2025-10-12 13:38:13,264 ]: 77 security_network_project - INFO - Entered the save_object method of MainUtils class
[ 2025-10-12 13:38:13,266 ]: 81 security_network_project - INFO - Exited the save_object method of MainUtils class
[ 2025-10-12 13:38:13,266 ]: 38 security_network_project - INFO - Data transformation completed
[ 2025-10-12 13:38:13,266 ]: 42 security_network_project - INFO - Model Training sstared
[ 2025-10-12 13:56:45,604 ]: 98 security_network_project - INFO - Best model selected: Gradient Boosting
[ 2025-10-12 13:56:45,604 ]: 99 security_network_project - INFO - Best hyperparameters: {'learning_rate': 0.05, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 256, 'subsample': 0.7}
[ 2025-10-12 13:56:45,604 ]: 100 security_network_project - INFO - Best score: 0.974
[ 2025-10-12 13:56:45,749 ]: 77 security_network_project - INFO - Entered the save_object method of MainUtils class
[ 2025-10-12 13:56:45,749 ]: 81 security_network_project - INFO - Exited the save_object method of MainUtils class
[ 2025-10-12 13:56:45,750 ]: 77 security_network_project - INFO - Entered the save_object method of MainUtils class
[ 2025-10-12 13:56:45,769 ]: 81 security_network_project - INFO - Exited the save_object method of MainUtils class
[ 2025-10-12 13:56:45,769 ]: 124 security_network_project - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\10_12_2025_13_38_11\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(accuracy_score=0.9888059701492538, f1_score=0.9899807711770063, precision_score=0.9845008051529791, recall_score=0.9955220842662325), test_metric_artifact=ClassificationMetricArtifact(accuracy_score=0.9742198100407056, f1_score=0.977299880525687, precision_score=0.9684293606945541, recall_score=0.9863344051446945))
[ 2025-10-12 13:56:45,773 ]: 48 security_network_project - INFO - Model Training artifact created
